,sentence,subjetividade,polaridade
0,"Se você quiser experimentar a autêntica comida da Carioca em ambiente autêntico Carioca, você deve visitar Aconchego Carioca na Tijuca.",1,1
1,Comemos muito bem eu e meu marido e de entrada pedimos o casquinho de caranguejo que foi excelente.,1,1
2,"Lugar charmoso, com bom atendimento!",1,1
3,"O lugar é lindo, a paisagem de frente para o mar, e a estrutura bem exótica tornam o lugar singular.",1,1
4,"Erram tudo, não dão atenção, demora, local barulhento.",1,-1
5,"O serviço é bom, não tivemos problemas com o atendimento ou espera pela comida.",1,1
6,"As vezes, a espera é demasiadamente longa, mas vale a pena!",1,0
7,O atendimento foi adequado.,1,0
8,"Muito bom pra matar a fome com preços bons.., Lanches variados e atendimento rápido, dispõe de uma grande variedade de opções",1,1
9,Eu prefiro ir num restaurante com serviço de rodízio.,1,0
10,"Pra mim, o destaque é o guioza, que acho o melhor de São Paulo.",1,1
11,"Se quiser comer comida japonesa de supermercado, este não é seu lugar.",1,-1
12,As comidas são todas muito saborosas.,1,1
13,Os pratos são bem servidos e um prato para duas pessoas pode servir três facilmente.,1,1
14,"Local perfeito, limpo, lindo, equipe atenciosa...tudo de bom!",1,1
15,"Fui lá de sexta feita para experimentar a pizza vegana, mas infelizmente cheguei as 22h e eles estavam fechando.",0,0
16,"Restaurante chinês, muito gostoso.",1,1
17,Amadeu Barbosa.,0,0
18,Experiência muito agradável no Rio.,1,1
19,Fica bem localizado e tem um ótimo ambiente.,1,1
20,"São Paulo não oferece boas opções de restaurante indiano,este é localizado num bairro tranquilo e apesar do local ser simples,o atendimento é ótimo e a comida deliciosa",1,1
21,O atendimento foi bom da última vez que fui ao estabelecimento.,1,1
22,O caldinho de frutos do mar é incrível!,1,1
23,Preço justo.,1,1
24,"Fui ao banheiro, alguém tentou abri-lo e vendo que estava trancado, resmungou alto.",0,0
25,"Carbonara primeiro veio hiper salgado, depois com a massa crua, não era al dente, era crua mesmo.",1,-1
26,ficou fantástico.,1,1
27,"Ambiente legal, sistema de espeto com alguns petiscos passando nas mesas é bem legal, comida é boa quando chega a mesa, mas até chegar leva muito tempo.",1,1
28,Em se falando de comiga italiana recomendo o la Bella italia sim.,1,1
29,"O preco do refri abusivo, 9 reais por uma coca de garrafa pequena.",0,1
30,"Boa comida, garçons atenciosos.",1,1
31,"Local muito agradável para ir, dar uma passar depois de um dia corrido e suado, para relaxar um pouco, tomar um vinho neste frio.",1,1
32,"Foi a primeira vez que fui e sinceramente NÃO pretendo voltar, o serviço foi PÉSSIMO, a começar pelo piloto da balsa num mal humor só.",1,-1
33,"Notei limpeza na cozinha de preparação, mas também havia aquele óleo usado dezenas de vezes, com aspecto escuro.",1,0
34,"Gente, acho que já comi melhores sim, mas tem seu valor.",1,0
35,It has an incredible beer list!,1,0
36,"Excelente atendimento, muitos atenciosos e sempre perguntando se queríamos trocar a bebida refil, e sempre com sorrisos no rosto.",1,1
37,"O ambiente é muito bonito, porém a comida demora muito para chegar.",1,0
38,"Nice place, but expected more from the house.",1,0
39,O hambúrguer mais caro vc pagará 16 reais.,0,0
40,"Um ponto negativo do restaurante é não ter nota fiscal separada, o que dificulta se estiver em grupos que dividam a conta e precisam de nota por pessoa.",0,-1
41,Vale muito experimentar o escondidinho de carne seca.,1,1
42,O chopp servido na caneca congelada tem lugar de destaque.,0,1
43,O caldo de peixe custou R$ 8 (sendo 20 em média nos outros locais) e superou as expectativas mais uma vez.,0,1
44,Mudaram de dono recentemente e acho que ainda estão se acertando.,0,0
45,O Chopp também é excelente.,1,1
46,"Restaurante bem localizado, com um bom atendimento e pratos que, além de bem preparados, são bem servidos e não são tão caros.",1,1
47,Eu recomendo!,1,1
48,O rodizio de galeto sempre o melhor da cidade.,1,1
49,"Para minha surpresa, ganhei um mini bolo (igualmente delicioso) com parabéns para você cantando por todos que estavam  no ambiente e me transmitiram as melhores energias.",1,1
50,"Eu pedi o cordeiro vindaloo, aloo gobi e misturei raita.",0,0
51,Um preço bacana!,1,1
52,O falafel estava excelente e também o schawarma.,1,1
53,Arroz de cuxá maravilhoso!,1,1
54,Atendimento muito bom.,1,1
55,"Fomos para almoçar num domingo, com vários amigos.",0,0
56,O cardápio oferecia opções para vários gostos.,0,0
57,"O atendimento não é tão ágil, as vezes os pedidos demoram um pouco, porém nada que seja digno de uma grande reclamação.",1,0
58,"Muito bom, ótimo atendimento, preço alto mas produtos de excelente qualidade, voltaria sempre.",1,1
59,"Primeiro, não perguntaram o que eu queria do rodízio, checar quais pratos eu queria ou dispensava, foram trazendo simplesmente.",0,0
60,"24 torneiras de chopp, e de qualidade.",0,1
61,Depois de muito ouvir sobre este estabelecimento.,0,0
62,Estilo Australiano uma das opções favoritas é sua costeleta no barbecue.,1,0
63,Excelente massa e excelente carne.,1,1
64,Atendimento fraco.,1,-1
65,"Certamente a melhor doceria de Belém, porém igualmente a mais cara também.",1,0
66,Vale muito a pena!,1,1
67,"Comemos salada, carne e massas.",0,0
68,Vale a pena conhecer e experimentar.,1,1
69,Vale a ida!,1,1
70,Pratos nordestinos.,0,0
71,"Muito gostosinha a comida, restaurante por kg, climatizado, atendimento muito bom, é uma ótima opção para quem mora na região!",1,1
72,"Identifique pelo nome verde (há uma homônima com logomarca vermelha - com preços melhores, mas qualidade infinitamente inferior).",1,1
73,"Música muito boa (longe do forró, que é só o que se ouve em Aracaju).",1,1
74,"Muitas opçoes de chás deliciosos e exóticos, bolos, sanduíches e diversas opcóes para cafe da manha e da tarde.",1,1
75,Boas opções de pratos executivos.,1,1
76,Eu comi lá um par de vezes e adorei!,1,1
77,Achei os preços bons para a qualidade dos pratos.,1,1
78,Nota 10.,1,1
79,"Sobre o cardápio árabe, eu não vi nada demais!",1,0
80,O preço é ótimo!,1,1
81,E olha que pedimos pesto e bolonhesa que não é nada sofisticado.,0,0
82,Pratos variados e especiais num cardápio que na escolha já te deixa com água na boca e a ânsia de como será o gosto.,1,1
83,"O Babilônia oferece um serviço adequado, comida saborosa e previsivelmente bem feita.",1,1
84,"Comi o hamburger clássico da casa, uma delicia, pra
Quem aprecia um boa carne feita na churrasqueira!!!",1,1
85,"Como recomendado, fizemos reserva pelo telefone, mas nem encheu tanto.",0,0
86,Quem gosta de sabor e qualidade o lugar eh aqui !!!,1,1
87,"Para provar ótimos camarões é aqui mesmo no camarões potiguar, bom preço e grande variedade, não deixe de visitar",1,1
88,Para quem não come muito 1 moqueca é suficiente para 3 pessoas!,1,0
89,"Cortes excelentes, servido à vontade, no ponto exato!",1,1
90,Costumamos pedir as que levam queijos.,1,0
91,"O restaurante oferece diferentes opções no cardápio, entre peixes e carnes e pratos regionais.",0,0
92,"Comidinha boa, mas não muito barata.",1,0
93,Gastamos 60 reais para comer.,0,0
94,"Como o espaço não é grande, é bom chegar cedo!",0,0
95,Vale a pena conhecer.,1,1
96,Atendimento idem.,0,1
97,"SERVIÇO: O salão tinha apenas duas mesas ocupadas além da nossa, portanto o atendimento foi bastante ágil e simpático.",1,1
98,Pequeno mas aconchegante.,0,1
99,Não tive problemas com o atendimento.,0,0
100,Recomendo para quem quer experimentar um pouco de diferentes pratos típicos.,1,1
101,E a cada visita me surpreendo com sabor e tbm com a crocancia do pão dos hambúrgueres.,1,0
102,"Os preços são bons para a região - entradas na faixa de $20, massas na faixa de R$ 50 e carnes na de R$ 70, sobremesas na faixa de R$ 20.",0,1
103,"Um pub de primeira, boas opções de cerveja escocesa e também uma ótima carta de cervejas convidadas.",0,1
104,"Atendimento,serviço e as famosas fotos!!!!",1,0
105,Estava maravilhosa!,1,0
106,"Preços salgados, como toda boa pizzaria em Goiânia.",1,0
107,Ambiente muito agradável com uma bela vista e um ambiente muito descontraído.,1,1
108,"um excelente lugar para ir com a família ou amigos, ótima comida, ótimo atendimento e ambiente.",1,1
109,Recomendo.,1,1
110,A costela estava sensacional.,1,1
111,Lindo restaurante italiano em Porto Alegre em local que costumava ser a chaminé de uma cervejaria.,1,1
112,"As porções são a la francesa, ou seja, não atende a quem está com fome.",1,0
113,Recomendo!,1,1
114,"Super recomendado, apesar de ser um pouco caro, mas vale a pena.",1,1
115,Simples e bom.,1,1
116,E o casal de proprietários (mineiros de BH) está sempre presente para acolher com muita simpatia.,1,1
117,"Tem a área externa, porém no calor da cidade, também não tem condições de ficar do lado de fora.",0,0
118,Fomos ontem conhecer esse restaurante de carnes na Saturnino de Brito.,0,0
119,"Acho que não vou voltar, mas a experiência foi válida!",0,1
120,Experimentamos uma carne de sol deliciosa.,1,1
121,"Restaurante excelente, adoro a carne na nata e o arroz de queijo.",0,1
122,"Tem tapioca, sanduíche, lasanha, escondidinho, sopa e entradas.",0,0
123,Todas opções estavam muito saborosas.,1,1
124,"Lugar lindo, atendimento otimo, musica ótima, comida deliciosa!",1,1
125,Não deixem de conferir!!,1,0
126,"Bastante variedade de comidas típicas, varios tipos de sobremessas, churrasco com carne fresquinha almoço bem rapido e prazeroso",1,1
127,Atendimento das cozinheiras e garçons esplendido.,0,1
128,Este restaurante é excelente em tudo!!!!!!!!!,1,1
129,"Já foi espetacular, atualmente as pessoas Word frequentam partem ser de bairros distantes.",1,0
130,É ótimo poder escolher a proteína e 3 acompanhamentos.,0,1
131,Legal para ir com toda a família.,1,1
132,Boa relação custo benefício.,1,1
133,"Apenas um ponto negativo, no periodo de chuvas tem muitas moscas e eles não cobrem todos os alimentos, alguns estavam descobertos e os insetos passeando (nojo!)",1,-1
134,A massa estava fria.,1,0
135,Ótima opção principalmente se o grupo é heterogêneo.,1,1
136,"Passei pelo açougue, muito bem organizado, fiquei surpresa com a higiene e conhecimento do açougueiro Marcel, que me atendeu!",1,1
137,"Ótimo lugar , decoração linda típica do Nordeste .",1,1
138,"Gostei muito, já conheci os restaurantes coco bambu de Brasilia, Fortaleza e o de BH segue o mesmo padrão.",1,1
139,E na primeira vez que fui ao restaurante era justamente a comida que não estava boa.,1,-1
140,"Porém, o gosto não era tão bom quanto o esperado, e o hambúrguer estava extremamente cru.",1,-1
141,"Lotes de rotação do ventilador para se refrescar se escolher o pátio, ar confidencial de ar no interior.",1,0
142,Voltarei com certeza.,1,1
143,Fui com a família e as crianças que não gostam de frutos do mar queriam um prato comum.,1,0
144,Atendimento nota 10!!,1,1
145,Preço salgado quando comparado com as outras casas de churrasco de Teresina.,1,-1
146,"O restaurante / lanchonete fica na esquina da Rua Silveira Martins com a Rua do Catete, em frente ao Palácio do Catete e próximo à estação homônima do metrô.",1,0
147,Todos concordámos em que seria voltar.,1,1
148,"Pedimos 2 pizzas + 1 pizza doce (lindt+kinder) + sucos/água/refri e ficou r$ 360,00.",0,0
149,Alem do excelente atendimento.,1,1
150,E aí achei o valor do rodizio com ótimo custo beneficio (R$ 80).,1,1
151,"Além de um atendimento exemplar, um ótimo cardápio e não erramos com massa (ravioli), carne (bisteca de vitela a milanesa) e mignon com salada de rucula (três medalhões pequenos).",1,1
152,"A experiência que tive foi ótima, me dá a sensação de estar em casa em um restaurante como este com variedade de opções e atendimento rápido ...",1,1
153,Recomendo.,1,1
154,Bem contemporâneo.,1,1
155,Nunca mais voltarei.,1,-1
156,Qualquer restaurante que se preze teria a tradução do cardápio.,1,-1
157,Meu prato veio com muito pouca comida.,1,0
158,Apesar de estar gostoso mesmo assim ele veio desemontado no isopor.,1,0
159,Recomendo com certeza!,1,1
160,Excelente pizza para os padrões fora de São Paulo.,1,1
161,"Restaurante muito bacana, fui numa terça feira em que não havia muito movimento.",1,1
162,Achamos os preços elevados.,1,-1
163,Carnes perfeitas e acompanhamentos deliciosos.,1,1
164,Gostei muito!,1,1
165,Tem opção por quilo e livre com um preço fixo.,1,0
166,Excelente lugar para se comer bolinho de bacalhau e tomar um chopp.,1,1
167,Eu recomendo!,1,1
168,"Restaurante bom para um almoço rápido, preço razoável, comida tambem razoável.",1,1
169,Sucos perfeitos.,1,1
170,Vale a pena conferir quando estiver em Natal.,1,1
171,Recomendo.,1,1
172,"Você enjoa de comer camarão, literalmente.",1,0
173,Ótimo lugar para Hamburguer.,1,1
174,"Não oferecem gengibre, raiz forte, nem molho Tarê.",0,-1
175,"Em Maceio priorizamos comer peixes e camarão por serem as especialidades locais , mas quase por acaso acabamos entrando e comendo uma pizza ,que não deve nada as melhores de São Paulo que estamos acostumados.",1,1
176,Além de um ambiente chic e sofisticado,1,1
177,Mas isso não apagou a ótima impressão do atendimento e da comida que tivemos.,1,1
178,"Tanto no salão quanto pedindo em casa, delícia.",1,1
179,"Comida saudável, delícia, ambiente super agradável, sucos maravilhosos!",1,1
180,Ps: E ainda da pra curtir a linda paisagem do lago.,1,1
181,"Veredito:

Não foi mau nem bom, é um local para ir sem fingir que tenho boas memórias, mas não vale a pena voltar ...",1,1
182,Foi a melhor que já comi.,1,1
183,"A feijoada é ótima, serve bem 3 pessoas!",1,1
184,"Combinação perfeita de doce, salgado e azedo.",1,1
185,Recomendo!,1,1
186,Quem busca algo no almoço também encontrará o que busca neste local.,1,1
187,Fomos muito bem atendidos pelos garçons Guedes e Eduardo,0,1
188,Já minha irmã pediu um filé de bisteca (acho que é isso) que vinha acompanhado de uma massa.,0,0
189,O preço não condiz com o que é servido.,1,-1
190,"Sobre a pizza em si, muito boa, mas aconselho ir na unidade Tatuapé.",1,-1
191,"Excelente comida, muito bem servido por um preço acessível.",1,1
192,O filé a parmigiana é excelente e serve duas pessoas muito bem.,1,1
193,Vá na Elleven.,0,0
194,"Já vi clientes que não sabiam disto e quando foram avisados tiveram que sair sem fazer o pedido, pois hoje em dia é muito comum as pessoas não portarem dinheiro em espécie...fica a dica ao proprietário: a pizza é deliciosa, mas para melhorar o empreendimento deveria aceitar pagamento com cartão.",1,0
195,Fica no Ponta Negra Poucas opções de cardápio.,1,-1
196,Estacionamento amplo com manobristas.,1,1
197,"excelente restaurante.... comida maravilhosa, só não gostei por 2 vezes que estive no local não estar passando cartão de débito....",1,1
198,nota 10.,1,1
199,"Quem frequenta uma vez sempre tende a voltar, pois são muitas opções e uma chama pela outra devido ao sabor incomparável.",1,1
